1,14.3,51.9,16.3,,7.1,,4.1,1.6
2,35.8,24.5,19.3,,17.8,,,2.1
3,12.4,44.4,18.6,22.2,,,1.7,
4,20.7,36.5,28.4,11.9,,1.0,1.2,
5,30.3,13.6,38.4,15.7,,,1.1,0.9
6,8.7,58.2,8.1,23.6,,,,
7,46.7,12.1,34.4,,,,,4.5
8,59.3,19.8,17.7,,,2.2,,
9,49.0,22.4,25.5,,,,,3.2
10,32.3,39.6,18.3,,3.9,,3.4,2.5
11,38.6,37.5,14.4,,,,7.0,2.0
12,30.9,17.2,10.8,39.6,,,,1.5
16,16.9,30.4,14.1,,36.0,,,2.6
17,24.0,22.7,31.6,18.9,,1.8,,
18,57.8,8.6,27.9,,,,,5.7
19,22.2,33.7,33.3,,,,5.8,1.9
20,54.1,16.7,22.8,,,1.8,,4.5
21,24.8,48.4,14.8,,,,7.6,4.4
22,52.2,12.6,28.4,,,,,6.8
23,25.5,47.1,9.3,18.0,,,,
24,20.4,47.7,11.9,19.1,,,,
25,15.6,47.4,10.0,26.0,,,,
26,52.8,19.2,20.4,,,1.7,,5.0
27,30.8,14.0,11.4,41.3,,,2.6,
28,17.8,54.3,8.2,,,0.7,14.6,2.9
29,17.3,47.3,17.3,,,,8.9,4.7
30,16.5,47.1,18.2,,,,8.6,4.5
31,36.3,48.1,10.0,,,1.2,1.9,1.9
32,52.7,23.1,15.7,,,,4.7,3.8
33,43.9,31.0,13.4,,,,5.6,5.9
34,50.5,20.4,24.5,,,,,4.1
35,33.9,50.5,11.2,,,,,3.6
36,31.4,6.9,56.6,,,2.4,,1.9
37,33.6,42.2,15.8,,,1.2,7.2,
38,47.4,35.1,14.7,,,1.2,,1.0
39,61.1,11.7,19.6,,,1.5,,5.0
40,57.9,14.5,20.6,,,1.3,2.1,3.3
41,38.9,35.9,19.9,,,0.9,1.7,2.5
42,52.5,14.8,24.9,,,1.4,,5.2
43,55.8,16.1,21.7,,,,2.3,4.1
44,52.8,19.6,20.0,,,,3.4,4.2
49,17.1,29.3,48.4,,,1.6,3.1,
50,36.7,13.2,43.7,,,,3.2,3.2
51,33.8,10.2,45.4,9.2,,,,1.2
52,13.9,42.9,20.1,,,1.7,2.8,
53,47.1,21.1,22.7,,,1.3,3.9,3.5
54,51.6,12.0,28.0,,,,3.6,
55,50.5,26.5,12.7,,,0.9,4.7,3.6
56,18.9,62.5,18.6,,,,,
57,37.6,40.6,15.4,,,1.1,2.9,1.8
58,32.6,41.8,16.2,,,,5.1,2.4
59,15.0,32.9,24.6,,,,,2.0
60,11.6,52.0,27.7,,,,5.5,1.7
61,11.9,55.7,27.5,,,2.4,,2.5
62,33.6,40.3,15.7,,,1.0,5.5,3.3
63,21.3,50.3,22.0,,,,,4.0
64,31.1,38.6,22.3,,,1.4,3.9,2.4
65,19.2,32.2,39.6,,,,5.3,2.9
66,26.3,39.0,22.3,,,,5.0,2.7
67,26.1,47.8,15.2,,,,4.7,2.1
68,18.3,54.3,14.2,,,,7.2,2.6
69,41.8,36.5,13.3,,,,3.8,4.1
70,35.8,41.1,14.4,,,,4.2,3.8
71,7.0,52.4,10.1,,4.1,,3.7,1.5
72,15.9,49.6,29.4,,,,5.1,
73,16.6,44.5,27.2,,,,4.4,4.3
